ran,photo,code,x,y,POINT.TYPE
1,1,1149,17.818,-14.218,0
1,1,1189,9.211,-87.813,0
1,1,1109,3.461,69.421,1
1,1,1249,-88.324,-6.42,0
1,1,1289,-90.178,-94.091,0
1,1,1209,-90.52,90.251,0
1,1,1118,-46.912,-91.104,0
1,1,1128,-75.156,-61.345,1
1,2,1249,-1.699,-6.769,0
1,2,1149,102.188,-15.027,0
1,2,1189,94.178,-88.586,0
1,2,1289,-4.309,-94.452,0
1,2,1209,-3.621,89.733,0
1,2,1109,89.024,68.527,1
1,2,1349,-77.529,-1.756,0
1,2,1389,-85.357,-88.031,0
1,2,1309,-89.181,95.07,1
1,2,1118,38.595,-91.643,0
1,2,1128,10.853,-61.739,1
1,2,1238,-84.957,-100.259,0
1,2,1218,-31.05,-100.725,0
1,2,1228,-49.711,-62.349,0
1,3,1349,10.078,-1.721,0
1,3,1249,85.551,-7.098,0
1,3,1289,82.269,-94.787,0
1,3,1389,1.758,-87.888,0
1,3,1309,-1.001,95.044,1
1,3,1209,83.806,89.402,0
1,3,1449,-77.55,10.358,0
1,3,1489,-87.196,-99.875,0
1,3,1409,-94.346,85.964,0
1,3,1238,2.129,-100.111,0
1,3,1218,55.599,-100.902,0
1,3,1228,37.297,-62.422,0
1,3,1318,-26.207,-63.871,0
1,3,1328,-47.833,-100.444,0
1,3,1338,-78.368,-66.639,3
1,4,1449,10.19,9.556,0
1,4,1349,97.335,-2.523,0
1,4,1389,88.922,-88.641,0
1,4,1489,0.53,-100.651,0
1,4,1409,-8.268,85.185,0
1,4,1309,86.348,94.22,1
1,4,1549,-80.979,-4.482,0
1,4,1589,-95.089,-97.987,0
1,4,1509,-88.456,97.897,2
1,4,1318,61.107,-64.643,0
1,4,1328,39.466,-101.203,0
1,4,1338,9.141,-67.418,3
1,4,1438,-57.072,-101.337,0
1,4,1418,-5.625,-104.579,0
1,4,1428,-34.002,-78.287,0
1,4,1448,-72.056,-67.462,0
1,5,1549,3.815,-4.391,0
1,5,1449,94.708,8.892,0
1,5,1489,84.206,-101.266,0
1,5,1589,-10.954,-97.831,0
1,5,1509,-4.929,97.957,2
1,5,1409,75.248,84.588,0
1,5,1649,-82.536,-8.237,0
1,5,1689,-88.148,-93.911,0
1,5,1609,-85.917,80.2,0
1,5,1438,26.821,-101.49,0
1,5,1418,78.116,-105.152,0
1,5,1428,50.041,-78.599,0
1,5,1448,12.331,-67.462,0
1,5,1518,-13.386,-101.888,0
1,5,1528,-37.422,-73.251,0
1,6,1649,6.295,-8.506,0
1,6,1549,91.847,-3.732,0
1,6,1589,78.18,-97.131,0
1,6,1689,1.541,-94.071,0
1,6,1609,1.918,79.957,0
1,6,1509,79.847,98.607,2
1,6,1749,-84.918,-2.879,0
1,6,1789,-81.054,-94.107,0
1,6,1709,-83.08,95.283,1
1,6,1518,75.825,-101.201,0
1,6,1528,51.697,-72.918,0
1,6,1618,-2.524,-70.5,0
1,6,1638,-19.576,-100.446,0
1,6,1628,-69.068,-95.155,0
1,6,1648,-48.781,-72.082,1
1,7,1749,0.589,-3.169,0
1,7,1649,91.427,-9.15,0
1,7,1689,86.34,-94.772,0
1,7,1789,4.112,-94.551,0
1,7,1709,3.019,94.728,1
1,7,1609,87.319,79.074,0
1,7,1618,82.339,-71.133,0
1,7,1638,65.336,-101.104,0
1,7,1648,36.334,-72.566,1
1,7,1738,-35.46,-101.086,0
2,1,2149,2.797,-9.501,0
2,1,2189,-1.383,-97.409,1
2,1,2109,-3.235,98.882,0
2,1,2249,-85.246,9.172,0
2,1,2289,-88.942,-96.418,0
2,1,2209,-83.08,88.263,0
2,1,1128,-35.895,97.902,1
2,1,1118,-7.778,67.211,0
2,1,1218,-78.203,58.903,0
2,2,2249,3.63,12.292,0
2,2,2149,91.118,-6.033,0
2,2,2189,87.256,-93.9,1
2,2,2289,0.08,-93.385,0
2,2,2109,85.133,102.569,0
2,2,2209,5.311,91.632,0
2,2,2349,-81.917,-4.921,0
2,2,2389,-76.974,-100.856,1
2,2,2309,-85.843,91.967,0
2,2,1128,52.522,101.488,1
2,2,1118,80.569,70.768,0
2,2,1218,10.379,62.181,0
2,2,1228,-8.522,101.116,0
2,2,1238,-43.796,63.184,0
2,2,1318,-72.723,99.607,0
2,3,2349,4.795,-2.217,0
2,3,2249,90.046,14.842,0
2,3,2289,85.943,-90.94,0
2,3,2389,9.278,-98.312,1
2,3,2309,0.958,94.709,0
2,3,2209,91.793,94.18,0
2,3,2449,-93.204,-4.797,0
2,3,2489,-87.669,-103.231,0
2,3,2409,-86.009,99.148,0
2,3,1228,78.117,103.693,0
2,3,1238,42.972,65.844,0
2,3,1318,14.151,102.333,0
2,3,1338,-38.324,99.444,3
2,3,1328,-7.412,65.227,0
2,3,1428,-81.966,88.969,0
2,3,1418,-53.146,62.477,0
2,4,2449,-5.844,-2.17,0
2,4,2349,91.795,0.822,0
2,4,2389,96.454,-95.263,1
2,4,2489,-0.11,-100.707,0
2,4,2409,0.95,101.883,0
2,4,2309,87.409,97.698,0
2,4,2549,-82.267,-9.201,0
2,4,2589,-84.056,-92.573,2
2,4,2509,-87.737,93.607,0
2,4,1338,48.316,102.319,3
2,4,1328,79.216,68.202,0
2,4,1428,5.113,91.727,0
2,4,1418,33.99,65.314,0
2,4,1448,-33.288,102.727,0
2,4,1438,-17.91,68.305,0
2,4,1528,-83.448,96.277,0
2,4,1518,-58.589,67.641,0
2,5,2549,5.777,-6.06,0
2,5,2449,81.814,1.281,0
2,5,2489,87.639,-97.023,0
2,5,2589,4.338,-89.318,2
2,5,2509,0.213,96.808,0
2,5,2409,88.285,105.369,0
2,5,2649,-92.196,2.276,0
2,5,2689,-89.629,-97.823,0
2,5,2609,-92.603,88.075,0
2,5,1448,54.399,106.118,0
2,5,1438,69.685,71.698,0
2,5,1528,4.454,99.499,0
2,5,1518,29.299,70.9,0
2,5,1618,-50.533,101.806,0
2,5,1638,-67.455,71.564,0
2,6,2649,-3.647,5.447,0
2,6,2549,93.76,-2.691,0
2,6,2589,92.322,-85.733,2
2,6,2689,-0.719,-94.477,0
2,6,2609,-3.723,91.32,0
2,6,2509,88.518,100.149,0
2,6,2749,-96.54,-8.807,0
2,6,2789,-90.001,-97.928,1
2,6,2709,-91.404,85.038,0
2,6,1618,38.051,105.112,0
2,6,1638,21.325,74.814,0
2,6,1628,-28.722,79.833,0
2,6,1648,-8.552,103.404,1
2,6,1738,-80.641,73.479,0
2,7,2749,-6.823,-5.902,0
2,7,2649,85.564,8.76,0
2,7,2689,88.816,-90.923,0
2,7,2789,0.218,-94.714,1
2,7,2709,-1.715,88.049,0
2,7,2609,85.851,94.804,0
2,7,1648,81.011,106.914,1
2,7,1628,60.923,83.155,0
2,7,1738,9.044,76.523,0
